"ID";"idActaLiquidacion";"FechaFactura";"MesServicio";"DepartamentoRadicacion";"NumeroRadicado";"NumeroOperacion";"FechaRadicado";"NumeroContrato";"NumeroFactura";"NumeroDiasLMA";"ValorAPagarLMA";"CodigoSucursal";"ValorDocumento";"Impuestos";"ImpuestosPorRecuperar";"TotalPagos";"TotalAnticipos";"TotalCopagos";"DescuentoPGP";"DescuentoBDUA";"OtrosDescuentos";"AjustesCartera";"TotalGlosaInicial";"TotalGlosaFavor";"TotalGlosaContra";"GlosaXConciliar";"TotalDevoluciones";"ValorSegunEPS";"ValorSegunIPS";"Diferencia";"NoRelacionada";"idUser";"FechaRegistro";"FechaFirmaActa";"NIT_IPS";"TotalPagosPosteriores";"ValoresPagados";"FechasTransacciones";"Transacciones";"SaldoFinal"
"1";"212";"2015-05-11";"201501";"TOLIMA";"123002";"0";"2015-05-11";"T-713-15";"97071";"115951";"8302091.6";"73870";"8653750";"0";"0";"0";"8309826";"0";"0";"-351658.4";"0";"0";"0";"0";"0";"0";"0";"-7734.4";"343924";"-351658.4";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
"2";"212";"2015-05-11";"201501";"TOLIMA";"123198";"0";"2015-05-11";"T-712-15";"97070";"115951";"38649946.83";"73870";"40250000";"0";"0";"9263257";"29387073";"0";"0";"-1600053.17";"0";"0";"0";"0";"0";"0";"0";"-383.17";"1599670";"-1600053.17";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
"3";"212";"2015-05-11";"201502";"TOLIMA";"123033";"0";"2015-05-11";"T-713-15";"97073";"119451";"8552691.6";"73870";"8647300";"0";"0";"0";"8560659";"0";"0";"-94608.4";"0";"0";"0";"0";"0";"0";"0";"-7967.4";"86641";"-94608.4";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
"4";"212";"2015-05-11";"201502";"TOLIMA";"123203";"0";"2015-05-11";"T-712-15";"97072";"119451";"39816601.83";"73870";"40220000";"0";"0";"0";"39816997";"0";"0";"-403398.17";"0";"0";"0";"0";"0";"0";"0";"-395.17";"403003";"-403398.17";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
"5";"212";"0000-00-00";"201503";"TOLIMA";"123047";"0";"2015-05-11";"T-713-15";"97076";"125482";"8984511.2";"73870";"8750500";"0";"0";"2426621";"6323879";"0";"0";"234011.2";"0";"0";"0";"0";"0";"0";"0";"234011.2";"0";"234011.2";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
"6";"212";"0000-00-00";"201503";"TOLIMA";"123216";"0";"2015-05-11";"T-712-15";"97075";"125482";"41826915.06";"73870";"40700000";"0";"0";"2576508";"38123492";"0";"0";"1126915.06";"0";"0";"0";"0";"0";"0";"0";"1126915.06";"0";"1126915.06";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
"7";"212";"2015-05-11";"201504";"TOLIMA";"123054";"0";"2015-05-11";"T-713-15";"97101";"122767";"8790117.2";"73870";"8772000";"0";"0";"8753174";"0";"0";"0";"18117.2";"0";"0";"18826";"18826";"0";"0";"0";"18117.2";"18826";"-708.8";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
"8";"212";"2015-05-11";"201504";"TOLIMA";"123223";"0";"2015-05-11";"T-712-15";"97100";"122767";"40921924.11";"73870";"40800000";"0";"0";"22780767";"11009640";"0";"0";"121924.11";"0";"0";"3879609";"3129984";"749625";"0";"0";"4001533.11";"7009593";"-3008059.89";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
"9";"212";"2015-06-09";"201505";"TOLIMA";"126505";"0";"2015-06-09";"T-713-15";"97493";"117624";"8421878.4";"73870";"8625800";"0";"0";"8429724";"0";"0";"0";"-203921.6";"0";"0";"0";"0";"0";"0";"0";"-7845.6";"196076";"-203921.6";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
"10";"212";"2015-06-09";"201505";"TOLIMA";"126508";"0";"2015-06-09";"T-712-15";"97492";"117624";"39207607.92";"73870";"40120000";"0";"0";"37988147";"1219850";"0";"0";"-912392.08";"0";"0";"0";"0";"0";"0";"0";"-389.08";"912003";"-912392.08";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
"11";"212";"0000-00-00";"201506";"TOLIMA";"153288";"0";"2015-12-07";"T-712-15";"99044";"59019";"19672803.27";"73870";"1249667";"0";"0";"1249667";"0";"0";"0";"18423136.27";"0";"0";"0";"0";"0";"0";"0";"18423136.27";"0";"18423136.27";"0";"1";"2019-11-27 07:29:13";"2019-11-19";"890704505";\N;"0";"0";"0";\N
